county,property_count,avg_water_score,avg_investment_score,min_price,max_price
Hale,238,3.02,6.75,16.27,91.9
Autauga,78,4.92,28.97,46.68,1151.36
Baldwin,49,6.62,19.79,63.99,75000.0
Talladega,43,3.47,47.77,76.14,311.81
Russell,21,2.14,3.76,85.98,8419.65
Saint Clair,19,4.32,32.05,126.94,729.3
Franklin,8,1.88,64.12,55.09,9793.22
Mobile,8,2.88,10.72,124.7,6578.23
Elmore,5,4.6,13.0,340.82,454.87
Lawrence,4,2.75,5.7,101.92,3292.28
Randolph,3,7.0,0.03,2726.19,2803.8
Jefferson,2,4.0,0.23,55000.0,55000.0
Pike,2,7.0,4.08,1392.37,1601.57
Butler,1,3.0,115.77,110.4,110.4
Cherokee,1,3.0,0.41,315.11,315.11
Marengo,1,2.0,1.1,97.76,97.76
